CNPJ;NOME FANTASIA;RAZÃO SOCIAL;SIF;ENDEREÇO;BAIRRO;CEP;MUNICIPIO;UF;TELEFONE;FAX;SITE
01.724.097/0001-48;FRIGORIFICO BERTONCELLI ;BERTONCELLI & FILHOS LTDA;173;PR 281KM 22,5 S/N. ;LAGOAO;85.560-000;CHOPINZINHO;PR;(46) 3242-2244/1494;(46) 3242-2244;
67.620.377/0013-58;INDUSTRIA E COMERCIO DE CARNES MINERVA ;MINERVA  S. A. ;2100;RODOVIA ALCIDES SAOVESSO KM 08;ZONA RURAL;79.760-000;BATAYPOR.;MS;(67) 3443-3500;(67) 3443-3500;www.minerva.ind.br
02.916.265/0141-10;FRIBOI;JBS S/A ;457;ROD. PA 150 S/N.,  Km 8,1;NOVA MARAB.;68.506-971;MARAB.;PA;(94) 2101-5152;(94) 2101-5156;
01.535.759/0001-31;;R. E. RIBEIRO SOARES - ME;1367;ESTRADA DO MIRITITUBA Km 2,5;COL.NIA DIAMANTINO;68.020-550;SANTAR.M;PA;(93) 3522.0763;;
03.853.896/0015-45;MARFRIG ;MARFRIG GLOBAL FOODS S. A.;847;RUA SANTA BRIGIDA, 120;SANTA BRIGIDA;97.300-000;S.O GABRIEL;RS;(55) 3237.2900;(55) 3237.2900;www.marfrig.com.br
10.198.974/0001-85;PLENA ;PLENA ALIMENTOS LTDA ;3215;ROD.  BR 153, KM 493;SETOR INDUSTRIAL;77.600-000;PARA.SO DO TOCANTINS;TO;(63) 602.1617;;
09.129.753/0001-76;FRIGO - BRAS ;FRIGO - BRAS FRIGOR.FICOS LTDA ;3730;ROD. MS 276 S/N. KM 4,7;UMBARACA;79.750-000;NOVA ANDRADINA;MS;(67) 3441-8000;(67) 3441-8000;www.frigandrade.com.br
01.037.273/0001-73;;PRIMAZ FRIGORIFICO LTDA ;641;BR 116, KM 197, S/N. ;ROSEIRA;83.880-000;RIO NEGRO;PR;(47) 3642.3810;(47) 3642.3810;
00.671.047/0001-87;FRIGOR.FICO THOMS ;FRIGOR.FICO THOMS LTDA;3995;.GUA MINERAL PIRAP. S/N.;GUAMIRIM;84.500-000;IRATI;PR;(42) 3434.1145;(42) 3423.2626;
09.567.194/0001-86;M H CARNES ;FRIGORIFICO PALMEIRA LTDA ME ;3098;ESTRADA S.O SEBASTI.O DO CANOAS, S/N;S.O SEBASTI.O DO CANOAS;88.545-000;PALMEIRA;SC;;;
60.444.908/0001-16;;FRIMART - FRIGOR.FICO MARTIN.POLIS LTDA ;122;ROD SP, 425 S/N. KM 430 + 537 METROS;CENTRO ;19.500-000;MARTIN.POLIS;SP;(18) 3275.4200;(18) 3275.4200;
03.721.769/0006-00;MASTERBOI ;MASTERBOI LTDA;860;ROD. BR 153, KM 190 S/N.;ZONA RURAL ;77.790-000;NOVA OLINDA;TO;(63) 3452.1408;;
04.377.477/0001-41;FRIBARREIRAS;FRIBARREIRAS AGRO INDUSTRIAL DE ALIMENTOS EIRELI ;2394;RODOVIA BR 020/135 KM 13 S/N;DISTRITO INDUSTRIAL;47.804-510;BARREIRAS;BA;(77) 3611-5974;;
97.545.687/0001-82;NATURAL CARNES;NATURAL CARNES LTDA ;2382;ROD. GO 139, KM 19, S/N. -  FAZENDA S.O JO.O DA RAQUEL;ZONA RURAL;72.920-000;ALEX.NIA;GO;;;
03.573.324/0017-74;BONASA ;BONASA ALIMENTOS S/A ;2739;FAZ. SANTO ANTONIO A DIREITA, S/N.,  ROD. BR 251 KM 48 ;S.O SEBASTI.O ;71.691-970;BRAS.LIA;DF;(61) 3350.6661;;
02.916.265/0138-14;FRIBOI ;JBS S/A ;2350;ROD. PA 279, S/n., Km 162;ZONA RURAL ;68.385-000;TUCUM.;PA;(94) 3433.3380;(94) 3433.3380;
06.132.739/0001-33;BURITI;BURITI COM.RCIO DE CARNES LTDA;1878;FAZENDA BURITI, S/N.                         ;ZONA RURAL;79.200-000;AQUIDAUANA;MS;(67) 3241-5260;(67) 3241-5260;
02.916.265/0068-77;FRIBOI ;JBS S/A ;200;ROD. MT 338, KM 08;ZONA RURAL;78.575-000;JUARA;MT;(66) 3556-9500;(66) 3556-9585;www.jbs.com.br
05.950.290/0005-81;MAFIR;COMPANHIA DE DESENVOLVIMENTO DE RORAIMA;2040;RODOVIA BR 174 KM 752 S/N.;DISTRITO INDUSTRIAL;69.300-000;BOA VISTA;RR;(95) 3691-1030;;
67.620.377/0004-67;;MINERVA S. A. ;431;ROD. GO 050, KM 41, S/N;ZONA RURAL;76.190-000;PALMEIRAS DE GOI.S;GO;(62)4051-9350;(64) 3571-8020;www.minerva.ind.br
68.067.446/0010-68;FRIGOL ;FRIGOL S. A. ;2583;RODOVIA PA 279, Km 075, S/N.;ZONA RURAL;68.533-000;.GUA AZUL DO NORTE;PA;(94) 3424.1390/1389;(94) 342.1019;www.frigol.com.br
81.035.388/0001-68;;GRANJEIRO ALIMENTOS LTDA;4087;CH.CARA WELTER S/N. LOTE 15E;GLEBA 3 BOCAS;86.600-000;ROL.NDIA;PR;(43)256.3600;;
03.853.896/0053-70;MARFRIG CHUPINGUAIA;MARFRIG GLOBAL FOODS S. A. ;3250;ESTRADA PROJETADA, Km 4, S/n. LINHA,  119 LOTE, 68;CURUMBIARA ;76.990-000;CHUPINGUAIA;RO;(69) 3346.1800;;
02.916.265/0177-20;;JBS S/A;2942;RODOVIA MT 170 S/N. KM 06;ZONA RURAL;78.320-000;JU.NA;MT;(66) 3566-8200;(66) 3566-8227;www.jbs.com.br
67.620.377/0018-62;;MINERVA S. A. ;1940;ROD. BR 153, S/N., KM 150;ZONA RURAL;77.804-970;ARAGUA.NA;TO;63-3415-7000;63-3413-3490;www.minerva.ind.br
05.164.854/0001-27;;FRIGORIFICO SABOR DE MINAS LTDA;2556;FAZENDA DIVISORIO, S/n.  EST. MURIA. - S.O FERNANDO;ZONA RURAL;36.880-000;MURIA.;MG;;;
02.916.265/0183-79;;JBS S/A ;2951;RODOVIA BR 364 KM 10 SENTIDO RB/PV;DISTRITO INDUSTRIAL ;69.918-340;RIO BRANCO;AC;;;
08.212.954/0004-12;EXPCOM - 3 ;EXPCOM - EXPORTACAO E COMERCIO DE CARNES LTDA ;2990;CH.CARA RIBEIR.O DAS ANTAS S/N.;ZONA RURAL;75.660-000;BURITI ALEGRE;GO;62.3311-9340;62.3311-9317;
04.854.657/0001-77;FRANGO BOM GOSTO;INTEGRA..O ALIMENTOS LTDA EPP;2773;AREA ISOLADA 3/1 ;ZONA RURAL / BRAZL.NDIA;72.405-970;BRAS.LIA;DF;(61) 3501-6000;(61) 3633-4060;
06.088.741/0008-29;;VALE GRANDE INDUSTRIA E COMERCIO DE ALIMENTOS S/A ;2937;ROD. MT 320 KM 77, S/N.;SETOR INDUSTRIAL;78.515-000;NOVA CANA. DO NORTE;MT;(66) 3551-1360;(66) 3551-1360;
00.616.184/0003-80;STRUT ALIMENTOS ;PIVETA ASSUN..O STRUT LTDA  ;3639;ROD BR 163, KM 473 - TRECHO ANEL RODOVIARIO, 6895 ;JARDIM ITAMARACA ;79.062-000;CAMPO GRANDE;MS;(67) 3338-6060;(67) 3338-6060;www.jsovinos.com.br
65.364.614/0001-06;;FRIPAI DISTRIBUIDORA DE CARNES LTDA;3498;AV. FRANCISCO VALADARES, 1300;VILA IDEAL;36.020-420;JUIZ DE FORA;MG;;;
03.835.761/0026-00;FRIBAL FRANCHISING ;COMCARNE COMERCIAL DE CARNE LTDA;1339;BR 222, Km 367, S/N.;JUSSARAL;65.345-000;IGARAP. DO MEIO;MA;(98) 3376.2000;(98) 3376.2009;
04.999.514/0001-53;NOTABLE;FRIGOR.FICO CATARINENSE LTDA - ME;3007;ROD. SC, 439, S/n., Km 8;RIO PEQUENO ;88.890-000;GR.O PAR.;SC;(48) 3652.1111;(48) 3652.1111;www.notable.com.br
04.603.630/0003-73;;INDUSTRIA E COMERCIO DE CARNES E DERIVADOS BOI BRASIL LTDA ;1723;ROD TO 373 KM 2;;77.480-000;ALVORADA;TO;;;
13.787.772/0002-48;MOGI MEAT DISTRIBUIDORA DE CARNES ;MOGI MEAT DISTRIBUIDORA DE CARNES LTDA ;3933;ROD PR 82, KM 318 ;ZONA RURAL ;87.820-000;CIDADE GA.CHA;PR;;;
03.853.896/0043-07; ;MARFRIG GLOBAL FOODS S. A. ;2345;ROD BR 158, S/N., KM 638 ;ZONA RURAL;78.690-000;NOVA XAVANTINA;MT;;;
95.812.723/0001-00;;IRM.OS DO VALLE LTDA ;2424;ROD BR CENTO E DEZESSEIS, S/N., KM 116;CAMPO ALTO;89.540-000;SANTA CEC.LIA;SC;(49) 3244.0027;;
03.573.324/0002-98;BONASA;BONASA ALIMENTOS S/A;1213;LOTEAMENTO  ESTREITO, S/n., LOTE 01;ZONA RURAL;77.900-000;AGUIARN.POLIS;TO;;;
01.838.723/0182-55;;BRF S. A. ;1010;ROD. GO 341, Km 2,5;DISTRITO INDUSTRIAL ;75.830-000;MINEIROS;GO;64-3672-7500;64-3672-7641;
06.067.949/0003-57;;SUINCO - COOPERATIVA DE SUINOCULTORES LTDA;4242;AV DUARTINA MARIA DE JESUS 1131;DISTRITO INDUSTRIAL III;38.700-971;PATOS DE MINAS;MG;;;
82.033.184/0001-50;;PRIMOS AGROINDUSTRIAL LTDA EPP ;3973;LOC PAPANDUVINHAS, S/n.;PAPANDUVINHAS ;83.450-000;BOCAI.VA DO SUL;PR;(41) 3658-1711;;
07.015.638/0001-45;FRIGORIFICO MATA BEM ;FRIGOR.FICO MATA BEM COM.RCIO E ABATE DE SUINOS E BOVINOS LTDA ;4127;S.TIO DECOLORES,  S/n.,  ROD. QUE LIGA SETE LAGOAS A FUNIL.NDIA;ZONA RURAL ;35.701-482;SETE LAGOAS;MG;(31) 9986-1244;;
11.516.163/0001-48;FRIGOR.FICO SUDOESTE ;FRIGOR.FICO REGIONAL SUDOESTE LTDA;3576;ROD BA - 263, KM 93, S/n., CONJUNTO FAZENDA MONTE BELO ;ZONA RURAL;45.700-000;ITAPETINGA;BA;(41) 9972.2957;;
02.916.265/0077-68;FRIBOI ;JBS S/A ;4400;RDV BR 060, S/n., KM 359,8 MARGEM  DIREITA ;ZONA RURAL;79.064-000;CAMPO GRANDE;MS;(67) 3373.0381;;
61.170.411/0003-81;ALGOULART ;ALGOULART COMERCIO ATACADISTA DE CARNES LTDA ;3878;ROD GO 302 KM 191, S/N;ZONA RURAL ;75.825-000;APOR.;GO;(62)3092.5536;;
01.838.723/0394-14;;BRF S. A. ;3515;AVENIDA DAS INDUSTRIAS, 6000 N, ALA 2 ;DISTRITO INDUSTRIAL SENADOR ATTILIO FONTANA;78.455-000;LUCAS DO RIO VERDE;MT;(47) 3249-4100;(47) 3249-4100;
15.756.574/0001-61;FRIVAM ALIMENTOS;FRIVAM ALIMENTOS LTDA  ;4273;ROD MUNICIPAL SERRA DO MORRO FEIO S/N ;FAZENDA VALE DA SERRA;75.340-000;HIDROL.NDIA;GO;(62) 3553-2800;(62) 3553-2800;
02.916.265/0185-30;;JBS S/A ;51;ROD BR 174, S/N, KM 231 ;ZONA RURAL ;78.250-000;PONTES E LACERDA;MT;;;
09.250.869/0001-69;FRICAL FRIGORIFICO CARIACICA S/A ;FRICAL FRIGORIFICO CARIACICA S/A ;1210;ROD. GOVERNADOR JOS. SETE, S/N.;PORTO DE CARIACICA;29.156-700;CARIACICA;ES;(27) 3396.3557;;
67.620.377/0074-70;;MINERVA S. A.  ;791;ROD RO 010 KM 14,5, S/N. - SENTIDO PIMENTA BUENO ;SETOR INDUSTRIAL ;76.940-000;ROLIM DE MOURA;RO;(69) 3449.1500;(69) 3449.1509;www.minerva.ind.br
24.084.055/0001-95;;AGROPECU.RIA SERROTE REDONDO LTDA;4184;FAZENDA SERROTE REDONDO S/N. - BR 110 KM 02;ZONA RURAL;56.700-000;S.O JOS. DO EGITO;PE;;;
12.683.049/0002-56;UNIBOI ;UNIBOI ALIMENTOS LTDA;1307;ROD BR 060, S/N., LOTE 194, KM 48 ;ZONA RURAL ;79.560-000;CHAPAD.O DO SUL;MS;(67) 3562.3895/2346;;
02.916.265/0104-75;FRIBOI ;JBS S/A ;3000;PRL DA ROD. MT 240 SENTIDO DIAMANTINO - NOVA MUTUM, KM 3,5 - LADO DIREITO ;ZONA RURAL;78.400-000;DIAMANTINO;MT;(65)3337-1001;(65)3337-3500;
04.652.419/0001-89;;NUTRILI - IND.STRIA E COM.RCIO DE CARNES LTDA ME ;904;ESTRADA DO MADEIRA, S/N., KM 3,9 ;ZONA RURAL;37.200-000;LAVRAS;MG;(35) 3826-4696;(35) 3826-4696;www.nutrili.com.br
07.946.019/0001-74;;FRIGORIFICO SAO JOAQUIM LTDA;253;ROD RODOVIA URUCANIA A JEQUERI, KM 120;ZONA RURAL;35.380-000;URUC.NIA;MG;(31) 3876-1900;;
03.873.602/0001-41;FRIGOSERVE ;FRIGOSERVE CACOAL LTDA ;1594;RUA B, S/N., LOTE 12, QUADRA 12 ;PARQUE INDUSTRIAL ;78.976-230;CACOAL;RO;(69) 3443.1051;;
03.853.896/0048-03;;MARFRIG GLOBAL FOODS S. A.  ;1497;ROD PA 279, S/N., KM 155 ;ZONA RURAL ;68.385-000;TUCUM.;PA;(91)3214.2300;;
18.626.084/0003-09;NATURAFRIG ;NATURAFRIG ALIMENTOS LTDA  ;1811;ROD MT 247 KM 6, S/N.;ZONA RURAL ;78.390-000;BARRA DO BUGRES;MT;(65) 3361.1918;(65)3361-6902;
09.348.028/0001-99;;PAULO OLIVA GIASSETTI ;3452;AV. ANTONIO MULLER, 3455 ;CHACARA MONTEREY ;13.215-830;JUNDIA.;SP;(11) 4523.5113;;
12.227.611/0001-56;;FRIGOARI - FRIGORIFICO ARIQUEMES S/A  ;511;ROD BR 364, KM 511, SENTIDO CUIABA - MT, S/N.;ZONA RURAL ;78.931-971;ARIQUEMES;RO;(69) 3535.3193;;
17.077.702/0005-08;;BARBOSA & CIA LTDA ;3476;ROD MGT 265, S/N. KM 60 SERRINHA ;ZONA RURAL ;36.208-000;BARBACENA;MG;(32) 3332.2700 ;;
97.280.960/0001-94;;FRIGOR.FICO ZIMMER LTDA ;1847;ROD RS 239, KM 37,S/N.;CAMPO VICENTE;95.630-000;PAROB.;RS;;;
09.021.679/0001-70;FRIGONOSSO ;FRIGOR.FICO NOSSO LTDA ;386;RODOVIA RO 383 KM 03 ;ZONA RURAL;78.975-000;CACOAL;RO;;;
09.026.663/0001-50;SBR SUINOS BRASIL ;SBR SUINOS BRASIL IND.STRIA E COM.RCIO DE CARNES LTDA ;463;ROD RS 463 - KM 14,5, S/N.;INTERIOR ;99.955-000;VILA L.NGARO;RS;(54) 3616.0034;;
04.603.630/0008-88;BOI BRASIL;INDUSTRIA E COMERCIO DE CARNES E DERIVADOS BOI BRASIL LTDA;2852;ROD BR 153 KM 137 A DIREITA S/N - EST DA AGUA AMARELA ;ZONA RURAL;77.839-400;ARAGUA.NA;TO;(63) 8111.9858;(63) 3412.4381;
12.482.555/0001-04;FRIGOR.FICO MACHADO;FRIGOR.FICO MACHADO LTDA ;1154;ROD BR 070 KM 348, S/N., KM MAIS 08 KM A DIREITA ANEXO FAZENDA CAVERA ;ZONA RURAL ;78.840-000;CAMPO VERDE;MT;(66) 3419.1112;;
03.906.433/0001-07;FRIGORIFICO UNIAO ;COOPERATIVA DOS ACOUGUEIROS DE UNAI LTDA ;3616;FAZ. CACHOEIRA MARGEM DIR. DO RIO PRETO,  S/N., KM 02;ZONA RURAL ;38.610-000;UNA.;MG;(38) 3676.1318;;
02.914.460/0198-46;SEARA;SEARA ALIMENTOS LTDA;1953;AV. PERIMETRAL NORTE, 901;CENTRO;84.145-000;CARAMBE.;PR;(42) 3231.8000;;
05.111.062/0001-94;;PANTANEIRA IND.STRIA E COM.RCIO DE CARNES E DERIVADOS LTDA;1206;RUA DAS POMBAS, N. 10;JARDIM DOS PASSAROS ;78.110-002;V.RZEA GRANDE;MT;(65) 3026.2033;;
07.377.438/0005-66;BOIBOM;COMERCIO DE CARNES BOIBOM LTDA;320;EST MUNICIPAL VILA BARBOSA, S/N, KM 3,5 ;ZONA RURAL;79.570-000;APARECIDA DO TABOADO;MS;(67) 3565-6433;;
06.095.896/0001-16;;FRIUNA ALIMENTOS LTDA ;2013;AV. CRISTOV.O COLOMBO, 1351;ALGODOAL ;13.405-459;PIRACICABA;SP;(19) 3421.3080;;
14.532.494/0001-60;UNITA;UNITA COOPERATIVA CENTRAL;603;ROD BR 369, KM 439, S/N.;RURAL;85.440-000;UBIRAT.;PR;44 3543-1695;;
83.310.441/0079-87;AURORA ALIMENTOS ;COOPERATIVA CENTRAL AURORA ALIMENTOS ;664;RUA JOSE SOFIA , ESQUINA COM ESTRADA CAMBOTA, S/N.;VILA VIT.RIA;86.975-000;MANDAGUARI;PR;(44) 3322.8800;;
16.629.137/0001-40;FRIGORIFICO IGAPO;FRIGORIFICO IGAP. LTDA ;485;ROD PR 180 KM 01, S/N., LOTE 03-A-1 - GLEBA 04 ;CENTRO;87.880-000;GUAIRA..;PR;;;
17.098.519/0001-57;GRAN CORTE ALIMENTOS;GRAN CORTE ALIMENTOS, IMPORTA..O E EXPORTA..O LTDA;435;ROD SALIM CURIATI, S/N., KM 20;MACUQUINHO ;18.760-000;CERQUEIRA C.SAR;SP;;;
05.492.166/0001-96;;BOIBRAS IND.STRIA E COM.RCIO DE CARNES E SUB PRODUTOS LTDA;2782;ROD BR 163, S/N., KM 606;ZONA RURAL;79.490-000;S.O GABRIEL DO OESTE;MS;(67) 3295.1131;;
08.199.996/0080-11;JBS AVES ;JBS AVES LTDA;2340;ROD RS 324 KM 69 S/N. - PARTE 1;LINHA BAU;99.615-000;TRINDADE DO SUL;RS;(54) 3344-4200;;
07.397.343/0001-80;FRIGORIFICO VALE DO IGUACU ;IRM.OS GIARETTA LTDA;4170;ROD. BR 373 KM 466, S/N.  ;ALTO PINHAL ;85.550-000;CORONEL VIVIDA;PR;(46) 3232.1837;;
08.611.656/0003-14;;FRIGORIFICO RS LTDA - EPP ;3801;ROD MT 235 KM 02, VICINAL A DIREITA, S/N. - VICINAL A DIREITA;ZONA RURAL;78.435-000;S.O JOS. DO RIO CLARO;MT;(66) 33861728;;
17.390.909/0001-04;FRIGORIFICO FRIGMANN  ;FRIGMANN FRIGORIFICO LTDA;25;ROD. AMAMBAI CAARAPO MS 156 KM 0, S/N.;ZONA RURAL;79.990-000;AMAMBA.;MS;;;
14.299.106/0001-42;FRIGORIFICO NOVO PROGRESSO ;T. M. DA SILVA DE CARVALHO FRIGORIFICO - EPP ;4686;ROD BR 163 KM 1108, M/E CBA-STM , S/N. , GLEBA CURUA ;ZONA RURAL;68.193-000;NOVO PROGRESSO;PA;;;
07.328.349/0002-87;FRIGOMAR FRIGORIFICO LTDA ;FRIGOMAR FRIGORIFICO LTDA ;2159;AV SALIM FARAH MALUF, 780;JARDIM MARACANA;19.026-240;PRESIDENTE PRUDENTE;SP;(18) 2104-4500;;
09.248.966/0001-17;ABATEDOURO E FRIGORIFICO SAO FRANCISCO;ABATEDOURO DE BOVINOS SAMPAIO LTDA - ME;2258;ROD BR 158 KM 07, S/N., SITIO CATARINENSE ;ZONA RURAL ;68.550-970;REDEN..O;PA;(94) 3424.0910;;
13.277.602/0001-32;FRIGORIFICO JUTI ;FRIGORIFICO JUTI IMPORTACAO E EXPORTACAO LTDA;1634;ROD BR 163 KM 177, S/N.;ZONA RURAL;79.955-000;JUTI;MS;(67) 3463-1009 ;;
03.721.769/0009-44;MASTERBOI ;MASTERBOI LTDA;2437;ROD PA 477 KM 2,4, S/N.;GLEBA XAMBIOA;68.570-000;S.O GERALDO DO ARAGUAIA;PA;(94) 3331.1100 ;;
14.808.427/0002-06;ADELLE FOODS;LABEMA ALIMENTOS LTDA;15;ROD BR 386 , n. 750 , LOTE: URBANO KM 52;   ;INTERIOR;98.380-000;SEBERI;RS;(55) 3199-4110 ;;
10.748.137/0001-82;FORTEFRIGO ;FRIGORIFICO FORTEFRIGO LTDA ;372;ROD PA-125, KM 9, S/N. ;INTERIOR;68.625-970;PARAGOMINAS;PA;(91) 3726-2826 ;;
